Dakar,2005,4.9,4.6,6.6,21.4,0.6,44,19.2,3.7,79,55.6
Diourbel,2005,3,15.1,9.3,4,0.1,89,3.3,6.2,178,49.7
Fatick,2005,5.1,11.6,9.1,8.2,0.9,79,6.2,6.8,154,62.2
Kaolack,2005,5.4,9,6.6,0,0.7,79,5.4,5.9,156,56.2
Kedougou,2005,0,0,0,0,0,0,0,0,0,0
Kolda,2005,8.7,27.3,8.9,10.1,2,100,8,6.3,205,59.9
Louga,2005,4.1,14.3,13,10.1,0.5,53,5.7,5.6,96,70.6
Matam,2005,24.8,25.1,12.7,6.2,0.6,68,1,5.7,110,40.7
Saint-Louis,2005,18.6,22.9,12.6,10.6,0.4,52,9.9,5.3,93,76.7
Sedhiou,2005,0,0,0,0,0,0,0,0,0,0
Tambacounda,2005,6.6,23.1,11.5,0,0.4,100,5.6,6.2,200,54.7
Thies,2005,5.4,11.5,6,17.2,0.4,60,15.2,5.4,101,59.3
Ziguinchor,2005,9.8,6.2,5.6,17.2,2.2,69,20.9,5,129,74.4
Kaffrine,2005,0,0,0,0,0,0,0,0,0,0
